date;route_from;route_to;start_at;arrived_at;duration_in_m;is_rush_hour;weather_conditions;seasonal_happening;traffic_density
07.03.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;10:01;14:00;99;False;1;1;1
26.10.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;13:38;17:34;101;False;2;1;1
05.04.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;09:19;12:08;115;True;4;1;1
23.12.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;14:20;15:08;48;False;3;0;3
28.07.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;11:07;11:50;43;False;4;1;2
08.03.2024;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;12:27;14:31;80;False;4;1;1
19.05.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;08:22;10:59;82;True;2;0;2
23.11.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;15:26;16:10;44;False;3;0;2
28.01.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;08:34;11:19;87;True;1;0;3
29.01.2024;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;12:21;17:09;128;False;2;0;1
03.11.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;16:58;21:09;133;True;2;1;3
10.05.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;06:04;08:39;110;False;4;1;1
12.02.2024;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;09:34;11:17;103;True;3;0;3
15.02.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;09:47;11:03;76;True;3;1;2
11.12.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;09:58;11:14;76;True;4;1;2
05.10.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;11:39;13:18;54;False;1;0;3
01.08.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;08:51;10:54;69;True;2;1;2
25.10.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;08:10;09:53;103;True;3;1;2
01.12.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;14:02;16:37;113;False;4;0;1
29.02.2024;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;15:01;16:42;57;False;2;0;2
10.10.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;16:05;22:03;153;True;2;0;1
18.03.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;10:00;11:41;53;False;2;0;2
